"","OTU.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"15","de3e7fe8f8c94968f068b5bf69b6c9d8","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales",NA,NA,NA
"16","c1fb969731d7dd22a0fa796880393c50","D_0__Bacteria","D_1__Cyanobacteria","D_2__Sericytochromatia","D_3__unidentified","D_4__unidentified","D_5__unidentified","D_6__unidentified"
"17","c0060a2881c3271cbbe979abd37a3de5","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Cytophagales","D_4__Hymenobacteraceae","D_5__Hymenobacter",NA
"18","04808ab7defdb7634c6d735a304dacfd","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Acetobacterales","D_4__Acetobacteraceae",NA,NA
"19","d710c70e9a78e9717c8cb6febab1145e","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group",NA,NA
"21","f2048022daec1f5ab50aa79939d0eba9","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Cytophagales","D_4__Hymenobacteraceae","D_5__Hymenobacter",NA
"22","1439f799f8b043a2d6bfe1570ac651a9","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Nostocales","D_4__Nostocaceae","D_5__Calothrix PCC-6303","D_6__Calothrix sp. HA4186-MV5"
"23","37255f06a30df8197fa0dbc388dbb002","D_0__Bacteria","D_1__FBP","D_2__uncultured organism","D_3__uncultured organism","D_4__uncultured organism","D_5__uncultured organism","D_6__uncultured organism"
"24","fac242103a43b7574990b337a7fab831","D_0__Bacteria","D_1__Chlamydiae","D_2__Chlamydiae","D_3__Chlamydiales","D_4__Parachlamydiaceae","D_5__Candidatus Protochlamydia","D_6__metagenome"
"25","919986fff2f1671a7163fd9922acb2c7","D_0__Bacteria","D_1__Gemmatimonadetes","D_2__Gemmatimonadetes","D_3__Gemmatimonadales","D_4__Gemmatimonadaceae","D_5__uncultured",NA
"26","41f99143f4e166506ea341cf0b2d09cd","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Solirubrobacterales","D_4__67-14","D_5__uncultured bacterium","D_6__uncultured bacterium"
"27","35806c18fb8b6ab65603fc812fda606c","D_0__Bacteria","D_1__Chloroflexi","D_2__Chloroflexia","D_3__Chloroflexales","D_4__Chloroflexaceae","D_5__Oscillochloris",NA
"28","79b053a6d024285e7509d6e28110500b","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Solirubrobacterales","D_4__Solirubrobacteraceae",NA,NA
"29","dabff95e24fb799a8cb3e70356fb2905","D_0__Bacteria","D_1__Proteobacteria","D_2__Deltaproteobacteria","D_3__Oligoflexales","D_4__0319-6G20","D_5__uncultured gamma proteobacterium","D_6__uncultured gamma proteobacterium"
"30","5b9716d24757cf4cb5b3a3eaf66bb375","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Sphingomonadales","D_4__Sphingomonadaceae","D_5__Sphingomonas",NA
"31","4b3ccb6e13bc5b83347b15902e066026","D_0__Bacteria","D_1__Gemmatimonadetes","D_2__Longimicrobia","D_3__Longimicrobiales","D_4__Longimicrobiaceae","D_5__uncultured bacterium","D_6__uncultured bacterium"
"32","3ed0692c9f630e706d5dc88f9a68e088","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group","D_5__uncultured planctomycete","D_6__uncultured planctomycete"
"33","c6b89dfd077bc2c79d90a9dca2931925","D_0__Bacteria","D_1__FBP",NA,NA,NA,NA,NA
"34","e51ffe78be190702e3c447e8a87d4e5f","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Pseudonocardiales","D_4__Pseudonocardiaceae","D_5__Pseudonocardia",NA
"35","4548e95771fea3e3a6e1c1cd195f33cb","D_0__Bacteria","D_1__Chloroflexi","D_2__Chloroflexia","D_3__Chloroflexales","D_4__Chloroflexaceae","D_5__FFCH7168","D_6__uncultured bacterium"
"36","fede190a7834797650e4905ec7d79695","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Solirubrobacterales","D_4__Solirubrobacteraceae","D_5__Conexibacter","D_6__uncultured bacterium"
"37","03a72c09072d54c0416166efec33ee11","D_0__Bacteria","D_1__Planctomycetes","D_2__Planctomycetacia","D_3__Planctomycetales","D_4__uncultured",NA,NA
"38","cc0cec59a3e463a67485f072187cd35d","D_0__Bacteria","D_1__Verrucomicrobia","D_2__Verrucomicrobiae","D_3__Pedosphaerales","D_4__Pedosphaeraceae","D_5__uncultured soil bacterium","D_6__uncultured soil bacterium"
"39","b9afd37d4e2ce897bd09efca68f3e2e7","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group","D_5__uncultured planctomycete","D_6__uncultured planctomycete"
"41","879e88c23a4320189b54879a587dffb2","D_0__Bacteria","D_1__Acidobacteria","D_2__Subgroup 6",NA,NA,NA,NA
"42","d708c58b1e09dc1a7846bb9caf3f5b1d","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"43","e5bb90b585f8f74e1e26f85551b1493d","D_0__Bacteria","D_1__Planctomycetes","D_2__Planctomycetacia","D_3__Gemmatales","D_4__Gemmataceae","D_5__uncultured","D_6__uncultured bacterium"
"44","35c151f0ff63fd6e3eb2bbcd7ee9314d","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Micromonosporales","D_4__Micromonosporaceae","D_5__Asanoa","D_6__uncultured bacterium"
"45","ec6f771c600815cc4300aff5cd5ba8c7","D_0__Bacteria","D_1__Chloroflexi","D_2__Chloroflexia","D_3__Kallotenuales","D_4__AKIW781","D_5__uncultured Chloroflexi bacterium","D_6__uncultured Chloroflexi bacterium"
"46","3c518f2a07c1482488b7967c448ef54a","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Rickettsiaceae","D_5__uncultured","D_6__metagenome"
"47","a3e4ee27d30445fd0ae6612b93fc91c6","D_0__Bacteria","D_1__Acidobacteria","D_2__Blastocatellia (Subgroup 4)","D_3__Pyrinomonadales","D_4__Pyrinomonadaceae","D_5__RB41",NA
"48","fd908fb9a83202709f18325e9a73a095","D_0__Bacteria","D_1__Acidobacteria","D_2__Subgroup 6",NA,NA,NA,NA
"49","eab749301a627205e9aa93e65de22bd1","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group",NA,NA
"50","0eadf98ede8f0ba3967850dfb4e46fd9","D_0__Bacteria","D_1__Patescibacteria","D_2__Gracilibacteria","D_3__Candidatus Peribacteria","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"51","8426791cb6946cf951f95c3f3696b927","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group",NA,NA
"52","b1f3fe8ce92dddb3c1dfe4d8f209f593","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group","D_5__uncultured bacterium","D_6__uncultured bacterium"
"53","45923423198a71d9f8fa336f45358c80","D_0__Bacteria","D_1__Cyanobacteria","D_2__Sericytochromatia","D_3__uncultured bacterium","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"54","2a5d02e299477c97e74921b461d5a910","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria",NA,NA,NA,NA
"55","394571827744b5325d60f2b07c5c721d","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria",NA,NA,NA,NA
"56","fd6300f825eb93472507f4b2e6489e91","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Frankiales",NA,NA,NA
"57","43e40e83b785f55d514c10975a125668","D_0__Bacteria","D_1__Proteobacteria","D_2__Deltaproteobacteria","D_3__Oligoflexales","D_4__0319-6G20",NA,NA
"58","e694023d5a5b450f4c613392d7592538","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Acetobacterales","D_4__Acetobacteraceae","D_5__Craurococcus","D_6__uncultured bacterium"
"59","c9cb3f766301f91212c49bb35e0f0f84","D_0__Bacteria","D_1__Verrucomicrobia","D_2__Verrucomicrobiae","D_3__Chthoniobacterales","D_4__Chthoniobacteraceae","D_5__Chthoniobacter","D_6__uncultured bacterium"
"60","7fd8c11d57735ad0ce3488fb0fb3d4c5","D_0__Bacteria","D_1__Proteobacteria","D_2__Deltaproteobacteria","D_3__Bdellovibrionales","D_4__Bdellovibrionaceae","D_5__OM27 clade",NA
"61","3debd64850b496edfdcb157333b43dd2","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia",NA,NA,NA,NA
"62","7473fe0b2072adff21a73bfaf59c6829","D_0__Bacteria","D_1__Actinobacteria","D_2__Rubrobacteria","D_3__Rubrobacterales","D_4__Rubrobacteriaceae","D_5__Rubrobacter","D_6__uncultured bacterium"
"63","6caad1954ecd8a4841a5e4087a8deac0","D_0__Bacteria","D_1__FBP","D_2__uncultured bacterium","D_3__uncultured bacterium","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"64","6f6733ea45fa62cdda432cc61c61cfe8","D_0__Bacteria","D_1__Proteobacteria","D_2__Deltaproteobacteria","D_3__Oligoflexales","D_4__0319-6G20","D_5__uncultured bacterium","D_6__uncultured bacterium"
"65","f490b3af4ca24bd38162b3f8a246a7c1","D_0__Bacteria","D_1__Verrucomicrobia","D_2__Verrucomicrobiae","D_3__Chthoniobacterales","D_4__Chthoniobacteraceae","D_5__Chthoniobacter","D_6__uncultured bacterium"
"66","01a074f0deaf74db0551849f1cdf5096","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae","D_5__uncultured thaumarchaeote","D_6__uncultured thaumarchaeote"
"67","eb8b91d7a24d05d3dfcf536acb674019","D_0__Bacteria","D_1__Entotheonellaeota","D_2__Entotheonellia","D_3__Entotheonellales","D_4__Entotheonellaceae","D_5__uncultured bacterium","D_6__uncultured bacterium"
"68","0aced6df7429f98ed258b018cac6dc11","D_0__Bacteria","D_1__Planctomycetes","D_2__Planctomycetacia","D_3__Isosphaerales","D_4__Isosphaeraceae","D_5__uncultured","D_6__uncultured Isosphaera sp."
"69","460fd5094308b474adbdbafece1c228e","D_0__Bacteria","D_1__Acidobacteria","D_2__Blastocatellia (Subgroup 4)","D_3__Blastocatellales","D_4__Blastocatellaceae","D_5__Blastocatella","D_6__uncultured bacterium"
"70","52936f4f967ccedd1b2372279d835227","D_0__Bacteria","D_1__Chloroflexi","D_2__KD4-96","D_3__uncultured bacterium","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"71","2409740329ab0a42b9d30eebf3281730","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria",NA,NA,NA,NA
"72","17624561ca4e678ddc59631ae0d1474d","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Nostocales","D_4__Phormidiaceae","D_5__Tychonema CCAP 1459-11B",NA
"73","9a544cc95d3d2a47f9463781511e086b","D_0__Bacteria","D_1__Proteobacteria","D_2__Deltaproteobacteria","D_3__Myxococcales","D_4__Haliangiaceae","D_5__Haliangium",NA
"74","0a7d725645f74706898be00f9518a6e1","D_0__Bacteria","D_1__Acidobacteria","D_2__Blastocatellia (Subgroup 4)","D_3__11-24",NA,NA,NA
"75","56a3f36fb9c625f266f80765a39113bd","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Acetobacterales","D_4__Acetobacteraceae","D_5__Craurococcus","D_6__uncultured bacterium"
"76","36f17b195772c7e50db457c22bfb6fd5","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria",NA,NA,NA,NA
"77","406831609a95cf3a8e6fb657659e2d82","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Chitinophagales","D_4__Chitinophagaceae",NA,NA
"78","e89a90c6618113818fd2f85ad6048c10","D_0__Bacteria","D_1__Gemmatimonadetes","D_2__Gemmatimonadetes","D_3__Gemmatimonadales","D_4__Gemmatimonadaceae",NA,NA
"79","2d602a5cde55674ac078a4f17a7472eb","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhodobacterales","D_4__Rhodobacteraceae","D_5__Rubellimicrobium",NA
"80","94d9a18941c6e21043c6fae3ea2f576c","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__Beijerinckiaceae","D_5__uncultured","D_6__uncultured bacterium"
"81","d4c39839a63421b723aa3290433e5fbc","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Chitinophagales","D_4__Chitinophagaceae","D_5__Flavisolibacter",NA
"82","953b8d354c2553ea36b413a33de4ea74","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Chitinophagales","D_4__Chitinophagaceae","D_5__Segetibacter",NA
"83","39af149bafaa79ab8d06eedd7edff15f","D_0__Bacteria","D_1__Verrucomicrobia","D_2__Verrucomicrobiae","D_3__Pedosphaerales","D_4__Pedosphaeraceae",NA,NA
"84","cc60b546643913e4e35df47ac34bbf03","D_0__Bacteria","D_1__Planctomycetes","D_2__Planctomycetacia","D_3__Gemmatales","D_4__Gemmataceae","D_5__uncultured","D_6__uncultured Zavarzinella sp."
"85","a72e19b3704e4cd298343b5eb8529c9b","D_0__Bacteria","D_1__Actinobacteria","D_2__Rubrobacteria","D_3__Rubrobacterales","D_4__Rubrobacteriaceae","D_5__Rubrobacter","D_6__metagenome"
"86","2bb97fccdf33ae891deac0c4ea92565f","D_0__Bacteria","D_1__Armatimonadetes","D_2__Armatimonadia","D_3__Armatimonadales","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"87","603bcf74f2533df91d98b87655da84e2","D_0__Bacteria","D_1__Patescibacteria","D_2__Saccharimonadia","D_3__Saccharimonadales","D_4__uncultured soil bacterium","D_5__uncultured soil bacterium","D_6__uncultured soil bacterium"
"88","d88cc1d95b8dfe348264e43c135cb0ad","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Solirubrobacterales","D_4__67-14","D_5__uncultured Rubrobacteria bacterium","D_6__uncultured Rubrobacteria bacterium"
"89","0dd1bb0e885ed277389d2de15c20de77","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group","D_5__uncultured planctomycete","D_6__uncultured planctomycete"
"90","c7a6035bf73febad03131c66c417fda1","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__Rhizobiales Incertae Sedis","D_5__Phreatobacter","D_6__metagenome"
"91","887fb43dd64e39479af6a85f7c7fcd1c","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Caulobacterales","D_4__Caulobacteraceae","D_5__uncultured",NA
"92","ca7b8fbbd813370f6103298f5bb2db2d","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"93","6d9ad2aae379886f8642898946382641","D_0__Bacteria","D_1__Planctomycetes","D_2__Planctomycetacia","D_3__Gemmatales","D_4__Gemmataceae","D_5__Fimbriiglobus","D_6__uncultured Planctomycetales bacterium"
"94","0df424bc6c45d5a85b37b6030755fdbc","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Gaiellales","D_4__uncultured",NA,NA
"95","8adee676676d15b7be0f416d85f90a40","D_0__Bacteria","D_1__Acidobacteria","D_2__Acidobacteriia","D_3__Solibacterales","D_4__Solibacteraceae (Subgroup 3)","D_5__Bryobacter","D_6__uncultured soil bacterium"
"96","5ddeecb3998a1f3fe797d674ff6b7556","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group","D_5__uncultured bacterium","D_6__uncultured bacterium"
"97","ab8631a4b4fe32835acd5373df1321dd","D_0__Bacteria","D_1__Acidobacteria","D_2__Blastocatellia (Subgroup 4)","D_3__Pyrinomonadales","D_4__Pyrinomonadaceae","D_5__RB41","D_6__uncultured Acidobacterium sp."
"98","3967d90d5d30fd2a5f13e94e5da2c8ad","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group","D_5__uncultured bacterium","D_6__uncultured bacterium"
"99","74a0ea0921393a72df6d14d63434a2be","D_0__Bacteria","D_1__FBP","D_2__uncultured bacterium","D_3__uncultured bacterium","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"100","2b56877f004b4710bf7da906f605d6dd","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group","D_5__uncultured bacterium","D_6__uncultured bacterium"
"101","a4210423583124d1f16bdc9a23a2bbd7","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"102","508b965917dc39695f154286a12f27df","D_0__Bacteria","D_1__Gemmatimonadetes","D_2__Gemmatimonadetes","D_3__Gemmatimonadales","D_4__Gemmatimonadaceae",NA,NA
"103","bb64d27aa01c743f567d6b1130847db3","D_0__Bacteria","D_1__Armatimonadetes","D_2__Fimbriimonadia","D_3__Fimbriimonadales","D_4__Fimbriimonadaceae",NA,NA
"104","7a37613885ed500001e220947ce5069f","D_0__Bacteria","D_1__Bacteroidetes","D_2__Ignavibacteria","D_3__OPB56","D_4__uncultured bacterium",NA,NA
"105","1e1cecb4f78584053b06358496398c13","D_0__Bacteria","D_1__Gemmatimonadetes","D_2__Longimicrobia","D_3__Longimicrobiales","D_4__Longimicrobiaceae","D_5__uncultured bacterium","D_6__uncultured bacterium"
"106","31cc72651f83a60bcb0ac033e4806242","D_0__Bacteria","D_1__Gemmatimonadetes","D_2__Longimicrobia","D_3__Longimicrobiales","D_4__Longimicrobiaceae","D_5__uncultured bacterium","D_6__uncultured bacterium"
"107","15d0ed02fba8b46c025e7c53b44812db","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Cytophagales","D_4__Cytophagaceae","D_5__Sporocytophaga","D_6__uncultured bacterium"
"108","3c979125a8431be0878b819b2fc27a24","D_0__Bacteria","D_1__Acidobacteria","D_2__Acidobacteriia","D_3__Acidobacteriales","D_4__Koribacteraceae","D_5__Candidatus Koribacter",NA
"109","09d9a5028ba30c94408e80f02d4bc13c","D_0__Bacteria","D_1__Chloroflexi","D_2__Chloroflexia","D_3__Kallotenuales","D_4__AKIW781","D_5__uncultured bacterium","D_6__uncultured bacterium"
"110","41185ef7c6c22aba287bc6cd72bdf8f8","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Sphingomonadales","D_4__Sphingomonadaceae","D_5__Sphingomonas","D_6__Sphingomonas sp. JS8(2011)"
"111","bfd5bf607dbbb325e1e9e4665c29fb6b","D_0__Bacteria","D_1__Gemmatimonadetes","D_2__Longimicrobia","D_3__Longimicrobiales","D_4__Longimicrobiaceae","D_5__uncultured bacterium","D_6__uncultured bacterium"
"112","f0e425198a0a9372418f514c1841e62d","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Solirubrobacterales","D_4__Solirubrobacteraceae",NA,NA
"113","c69e6e995e4a501382c5ed2338b07ec5","D_0__Bacteria","D_1__Armatimonadetes","D_2__uncultured","D_3__uncultured bacterium","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"114","353ee7b9b039c0ee162f25998e26a5c9","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Cytophagales","D_4__Spirosomaceae","D_5__Larkinella","D_6__uncultured bacterium"
"115","2172388bdcd54a6f1b334f8c8dcd2e26","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Sphingomonadales","D_4__Sphingomonadaceae","D_5__Sphingomonas",NA
"116","ae98020a45b1c2f02d51ac5793e55122","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__uncultured","D_5__uncultured bacterium","D_6__uncultured bacterium"
"117","1d884e74d3321c6780a7acabeaa3da0d","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Cytophagales","D_4__Hymenobacteraceae","D_5__Adhaeribacter",NA
"118","2029aded4ce2f0ffce76bcf1ef0c59c9","D_0__Bacteria","D_1__Planctomycetes","D_2__Planctomycetacia","D_3__Isosphaerales","D_4__Isosphaeraceae","D_5__uncultured","D_6__uncultured Isosphaera sp."
"119","2bac632575fa74934e9caf8e051e8226","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Solirubrobacterales","D_4__Solirubrobacteraceae","D_5__Solirubrobacter","D_6__uncultured bacterium"
"120","d1cee0ec5b470448e531fdb05722e174","D_0__Bacteria","D_1__Chloroflexi","D_2__Anaerolineae","D_3__Ardenticatenales","D_4__Ardenticatenaceae","D_5__uncultured","D_6__uncultured Caldilinea sp."
"121","7e9d7b8fe5336377ce09901d5cf54afa","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Diplorickettsiales","D_4__Diplorickettsiaceae","D_5__uncultured","D_6__uncultured bacterium"
"122","cb94c30478698eb83b0d825ded0b1e47","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group",NA,NA
"123","78454481667e40246d154cf09614a027","D_0__Bacteria","D_1__Chloroflexi","D_2__Ktedonobacteria","D_3__C0119","D_4__uncultured soil bacterium","D_5__uncultured soil bacterium","D_6__uncultured soil bacterium"
"124","180052b5fe57441dd9e4b3dcc17e3e4c","D_0__Bacteria","D_1__Proteobacteria","D_2__Deltaproteobacteria","D_3__Myxococcales","D_4__Polyangiaceae","D_5__Pajaroellobacter","D_6__uncultured delta proteobacterium"
"125","6ff2f869a1b78e12a49307d107afb8f9","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Solirubrobacterales","D_4__Solirubrobacteraceae","D_5__Solirubrobacter",NA
"126","c2266c0f7f81915dc07ed3196fd55061","D_0__Bacteria","D_1__Planctomycetes","D_2__Phycisphaerae","D_3__Tepidisphaerales","D_4__WD2101 soil group","D_5__uncultured bacterium","D_6__uncultured bacterium"
"127","b10c87bc771543a97168f958d334bdfb","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Acetobacterales","D_4__Acetobacteraceae","D_5__Roseomonas","D_6__Roseomonas sp. M3"
"128","165f4427fa2417e407281493a996302f","D_0__Bacteria","D_1__Armatimonadetes","D_2__uncultured","D_3__uncultured bacterium","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"129","d7488060e91433ff5055dbac10896fe6","D_0__Bacteria","D_1__Chloroflexi",NA,NA,NA,NA,NA
"130","234c8481bf7d3a75ec6c51f6a249d9f3","D_0__Bacteria","D_1__Gemmatimonadetes","D_2__Gemmatimonadetes","D_3__Gemmatimonadales","D_4__Gemmatimonadaceae","D_5__uncultured","D_6__uncultured Gemmatimonadetes bacterium"
"131","2f5dc256c87e7369fad5baa48132e686","D_0__Bacteria","D_1__Proteobacteria","D_2__Deltaproteobacteria","D_3__Myxococcales","D_4__Haliangiaceae","D_5__Haliangium","D_6__uncultured prokaryote"
"132","3fe51abd86ba7de3ce3bb5e37e082f75","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Sphingomonadales","D_4__Sphingomonadaceae","D_5__Altererythrobacter",NA
"133","1dee1aefe72de1c4db0e4ce493fca7f8","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Cytophagales","D_4__Amoebophilaceae","D_5__Candidatus Amoebophilus","D_6__uncultured bacterium"
"134","cb92d0aefb0c073c767d5686217844aa","D_0__Bacteria","D_1__Bacteroidetes","D_2__Ignavibacteria","D_3__OPB56",NA,NA,NA
"136","2531eadcac82f539fed095d2d342ed6f","D_0__Bacteria","D_1__Verrucomicrobia","D_2__Verrucomicrobiae","D_3__Chthoniobacterales","D_4__Chthoniobacteraceae","D_5__uncultured bacterium","D_6__uncultured bacterium"
"137","ad20e56d7b12a8e883ec90cd46fae756","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Sphingobacteriales","D_4__Sphingobacteriaceae","D_5__Arcticibacter","D_6__uncultured bacterium"
