"","OTU.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","b71e98a830e17181965bd373fdb18714","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales",NA,NA,NA
"2","dee343819c08ba6ed6f57983abd1d4e3","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__Beijerinckiaceae","D_5__Psychroglaciecola","D_6__uncultured bacterium"
"3","35e4e632a3ba688405044edb6b076345","D_0__Bacteria","D_1__Actinobacteria","D_2__Rubrobacteria","D_3__Rubrobacterales","D_4__Rubrobacteriaceae","D_5__Rubrobacter","D_6__uncultured actinobacterium"
"4","b878206f905ec92ec2eabd328cd78382","D_0__Bacteria","D_1__Actinobacteria","D_2__0319-7L14",NA,NA,NA,NA
"5","7d6eb1c347ea9f4d8ddff7f4df34675f","D_0__Bacteria","D_1__Chloroflexi","D_2__Chloroflexia","D_3__Thermomicrobiales","D_4__JG30-KF-CM45","D_5__uncultured bacterium","D_6__uncultured bacterium"
"6","1bf9be48414c87e48f288a6134654fc9","D_0__Bacteria","D_1__Chloroflexi","D_2__KD4-96",NA,NA,NA,NA
"8","bc15f6fcf4985bf23abfa23efd5917dc","D_0__Bacteria","D_1__Actinobacteria","D_2__Nitriliruptoria","D_3__Euzebyales","D_4__Euzebyaceae","D_5__uncultured",NA
"9","67c7af763091251be461b5aebb41ceb9","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Cytophagales","D_4__Spirosomaceae","D_5__uncultured","D_6__metagenome"
"10","f84231fb475483de66af26a6cbc1338d","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__Beijerinckiaceae","D_5__Psychroglaciecola","D_6__uncultured bacterium"
"11","e0b92d1258edf5f69d4673612e9617d3","D_0__Bacteria","D_1__Acidobacteria","D_2__Acidobacteriia","D_3__Solibacterales","D_4__Solibacteraceae (Subgroup 3)","D_5__Bryobacter","D_6__uncultured eubacterium WD254"
"12","1a970ff9127cdebe11a0e0514617f28d","D_0__Bacteria","D_1__Chloroflexi","D_2__Ktedonobacteria","D_3__B12-WMSP1","D_4__uncultured Chloroflexi bacterium","D_5__uncultured Chloroflexi bacterium","D_6__uncultured Chloroflexi bacterium"
"13","3f4134a140940e85fc46fbaff939e7fb","D_0__Bacteria","D_1__Chloroflexi","D_2__Chloroflexia","D_3__Thermomicrobiales","D_4__JG30-KF-CM45","D_5__bacterium Ellin6537","D_6__bacterium Ellin6537"
"14","e7cd3be7c3b97d5a453b04a3f9cc79b9","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Acetobacterales","D_4__Acetobacteraceae","D_5__Roseomonas",NA
