SampleID	Site	Crust_type	Crust_type_Site	Description
SHP.8.COLLEMA.R1.	SHP	CLC	SHP.CLC	Nicole
SHP.8.COLLEMA.R2.	SHP	CLC	SHP.CLC	Nicole
SHP.8.COLLEMA.R3.	SHP	CLC	SHP.CLC	Nicole
SHP.8.LAC.R1.	SHP	LAC	SHP.LAC	Nicole
SHP.8.LAC.R2.	SHP	LAC	SHP.LAC	Nicole
SHP.8.LAC.R3.	SHP	LAC	SHP.LAC	Nicole
SHP.N17.CLAV.LAC.	SHP	GLC	SHP.GLC	Nicole
SHP.N17.COLLEMA.R1.	SHP	CLC	SHP.CLC	Nicole
SHP.N17.COLLEMA.R2.	SHP	CLC	SHP.CLC	Nicole
SHP.N17.COLLEMA.R3.	SHP	CLC	SHP.CLC	Nicole
SHP.N17.LAC.R1.	SHP	LAC	SHP.LAC	Nicole
SHP.N17.LAC.R2.	SHP	LAC	SHP.LAC	Nicole
SHP.N17.LAC.R3.	SHP	LAC	SHP.LAC	Nicole
SHP.N21.COLLEMA.R1.	SHP	CLC	SHP.CLC	Nicole
SHP.N21.LAC.R1.	SHP	LAC	SHP.LAC	Nicole
SHP.N26.CLAV.LAC.	SHP	GLC	SHP.GLC	Nicole
SHP.N26.COLLEMA.R1.	SHP	CLC	SHP.CLC	Nicole
SHP.N26.COLLEMA.R2.	SHP	CLC	SHP.CLC	Nicole
SHP.N26.COLLEMA.R3.	SHP	CLC	SHP.CLC	Nicole
SHP.N26.LAC.PC.	SHP	LAC	SHP.LAC	Nicole
SHP.N26.LAC.R1.	SHP	LAC	SHP.LAC	Nicole
SHP.N26.LAC.R2.	SHP	LAC	SHP.LAC	Nicole
SHP.N26.LAC.R3.	SHP	LAC	SHP.LAC	Nicole
SHP1.COLLEMA.R1.	SHP	CLC	SHP.CLC	Nicole
SHP1.LAC.R1.	SHP	LAC	SHP.LAC	Nicole
