	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Bacteria	Acidobacteria	Acidobacteria_Gp4	Gp4	Gp4	Gp4	NA
OTU2	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
OTU3	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	NA	NA	NA	NA
OTU4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	NA
OTU5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
OTU6	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Geodermatophilus	NA
OTU7	Bacteria	Actinobacteria	Actinobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	NA
OTU8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	NA
OTU9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
OTU10	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
OTU11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
OTU12	Bacteria	NA	NA	NA	NA	NA	NA
OTU13	Bacteria	Actinobacteria	Actinobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	NA
OTU14	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	NA	NA	NA	NA
OTU15	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
OTU16	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
OTU18	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
OTU19	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	NA	NA	NA	NA
OTU20	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
OTU22	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	NA
OTU23	Bacteria	Actinobacteria	Actinobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	NA
OTU24	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
OTU25	Bacteria	Acidobacteria	Acidobacteria_Gp4	Gp4	Gp4	Gp4	NA
OTU26	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
OTU27	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	Family I	Family I	GpI	NA
OTU28	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
OTU29	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA	NA
OTU30	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Geodermatophilus	NA
OTU31	unclassified	NA	NA	NA	NA	NA	NA
OTU32	Bacteria	NA	NA	NA	NA	NA	NA
OTU33	Bacteria	NA	NA	NA	NA	NA	NA
OTU34	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
OTU35	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA	NA
OTU36	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	NA	NA
OTU37	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	NA	NA
OTU38	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	Family XIII	Family XIII	GpXIII	NA
OTU39	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	NA
OTU40	Bacteria	Verrucomicrobia	Spartobacteria	NA	NA	NA	NA
OTU41	Bacteria	NA	NA	NA	NA	NA	NA
OTU42	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	NA	NA
OTU43	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
OTU44	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA	NA
OTU45	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	NA	NA
OTU46	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	NA	NA	NA	NA
OTU48	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Modestobacter	NA
OTU49	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
OTU50	Bacteria	Acidobacteria	Acidobacteria_Gp10	Gp10	Gp10	Gp10	NA
