	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV4	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	NA	NA	NA
ASV5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV6	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella centenaria
ASV8	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	NA	NA
ASV9	Fungi	NA	NA	NA	NA	NA	NA
ASV10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV11	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
ASV13	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV14	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Macroventuria	NA
ASV15	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	NA	NA	NA
ASV16	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	Acarospora fuscata
ASV17	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
ASV18	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV19	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV20	Fungi	NA	NA	NA	NA	NA	NA
ASV21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella ornata
ASV22	Fungi	NA	NA	NA	NA	NA	NA
ASV23	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
ASV24	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	NA
ASV25	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV26	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV27	Fungi	NA	NA	NA	NA	NA	NA
ASV28	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	NA	NA	NA
ASV29	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV30	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	NA
ASV31	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV32	Fungi	NA	NA	NA	NA	NA	NA
ASV33	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV34	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV35	Fungi	Ascomycota	Lichinomycetes	Lichinales	Peltulaceae	Peltula	Peltula richardsii
ASV36	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV37	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	NA	NA	NA
ASV38	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
ASV39	Fungi	NA	NA	NA	NA	NA	NA
ASV40	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Coprinus	NA
ASV42	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
ASV43	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV44	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	NA	NA	NA
ASV45	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	NA	NA
ASV46	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV47	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV48	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	NA
ASV49	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV50	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
ASV51	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
ASV52	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	NA
ASV53	Fungi	NA	NA	NA	NA	NA	NA
ASV54	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	NA	NA	NA
ASV55	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV56	Fungi	Basidiomycota	Agaricomycetes	Corticiales	NA	NA	NA
ASV57	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum xerophilum
ASV58	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV59	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV60	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV61	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV62	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV63	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia terricola
ASV65	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Keissleriella	Keissleriella cirsii
ASV66	Fungi	Basidiomycota	Agaricomycetes	Russulales	NA	NA	NA
ASV67	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV68	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV69	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV70	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Acrophialophora	Acrophialophora levis
ASV71	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV72	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV73	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV74	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV75	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	NA
ASV76	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
