"","OTU.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"10379f3da82ecf2c37f3f944c5c66d81","10379f3da82ecf2c37f3f944c5c66d81","k__Bacteria",NA,NA,NA,NA,NA,NA
"5dead3da63cf592d10dd732889f29415","5dead3da63cf592d10dd732889f29415","k__Bacteria",NA,NA,NA,NA,NA,NA
"4533a49c8895c8665d3fbf9453cbc0cc","4533a49c8895c8665d3fbf9453cbc0cc","k__Bacteria",NA,NA,NA,NA,NA,NA
"37e3f46597b917519fa3e69c18845157","37e3f46597b917519fa3e69c18845157","k__Bacteria",NA,NA,NA,NA,NA,NA
"00ce5f7d1b2a487aa73d4f5e22287d69","00ce5f7d1b2a487aa73d4f5e22287d69","k__Bacteria",NA,NA,NA,NA,NA,NA
"81e6b9360343eaa4fe4ce3c9897b6986","81e6b9360343eaa4fe4ce3c9897b6986","k__Bacteria",NA,NA,NA,NA,NA,NA
"f482a0d3c4a4fd7dd755ea44949fd8e0","f482a0d3c4a4fd7dd755ea44949fd8e0","k__Bacteria",NA,NA,NA,NA,NA,NA
"1b091955d400b64826a0ae10b4361197","1b091955d400b64826a0ae10b4361197","k__Bacteria",NA,NA,NA,NA,NA,NA
"374e62a22fd833c2cfbbd29ab69430dd","374e62a22fd833c2cfbbd29ab69430dd","k__Bacteria",NA,NA,NA,NA,NA,NA
"da1ca967e73055599e578aa307150fc7","da1ca967e73055599e578aa307150fc7","k__Bacteria",NA,NA,NA,NA,NA,NA
"7b74b9499c530149a55b7c93ae4adc37","7b74b9499c530149a55b7c93ae4adc37","k__Bacteria",NA,NA,NA,NA,NA,NA
"909d21b1db1f5224ae164113222229a9","909d21b1db1f5224ae164113222229a9","k__Bacteria",NA,NA,NA,NA,NA,NA
"863989fa65f9fa22def0858d7b555821","863989fa65f9fa22def0858d7b555821","k__Bacteria",NA,NA,NA,NA,NA,NA
"70f611fa5ce56dafb9ed99213f4045eb","70f611fa5ce56dafb9ed99213f4045eb","k__Bacteria",NA,NA,NA,NA,NA,NA
"9c65aa65ecfedf9b9d321db72e94f6fd","9c65aa65ecfedf9b9d321db72e94f6fd","k__Bacteria",NA,NA,NA,NA,NA,NA
"ba75a4e4e102d129823b86de6ec556ae","ba75a4e4e102d129823b86de6ec556ae","k__Bacteria",NA,NA,NA,NA,NA,NA
"bbac4f07c4ee052627569ab0578edbcc","bbac4f07c4ee052627569ab0578edbcc","k__Bacteria",NA,NA,NA,NA,NA,NA
"bd59c68382c5aae76839089d64f72489","bd59c68382c5aae76839089d64f72489","k__Bacteria",NA,NA,NA,NA,NA,NA
"3b1e784599d44528c0e69d5b2d572c6b","3b1e784599d44528c0e69d5b2d572c6b","k__Bacteria",NA,NA,NA,NA,NA,NA
"e2ded8f409ed4c4e37250ce6b9d5fbad","e2ded8f409ed4c4e37250ce6b9d5fbad","k__Bacteria",NA,NA,NA,NA,NA,NA
"3178a244812833a7dc8547a32248bfe1","3178a244812833a7dc8547a32248bfe1","k__Bacteria",NA,NA,NA,NA,NA,NA
"ada669e5343a2fbe1f663c7c857abfa9","ada669e5343a2fbe1f663c7c857abfa9","k__Bacteria",NA,NA,NA,NA,NA,NA
"d92488fbfdb33f94b3d8dbdbff856b15","d92488fbfdb33f94b3d8dbdbff856b15","k__Bacteria",NA,NA,NA,NA,NA,NA
"d36ae87500e4aba20f7e3c9d6472c4df","d36ae87500e4aba20f7e3c9d6472c4df","k__Bacteria",NA,NA,NA,NA,NA,NA
"568ef44a224eb47dd09704e5b5b45bd8","568ef44a224eb47dd09704e5b5b45bd8","k__Bacteria",NA,NA,NA,NA,NA,NA
"9baed30b34663cfea553710b3997b2bc","9baed30b34663cfea553710b3997b2bc","Unassigned",NA,NA,NA,NA,NA,NA
"6c8487fc81f27dea0d016a5e5a090f16","6c8487fc81f27dea0d016a5e5a090f16","k__Bacteria"," p__Proteobacteria",NA,NA,NA,NA,NA
"9cdf50d7610a04f5dbf8956a473b9711","9cdf50d7610a04f5dbf8956a473b9711","k__Bacteria"," p__Proteobacteria",NA,NA,NA,NA,NA
"0d5b32a67571a0ca0a3b84ef2fb30633","0d5b32a67571a0ca0a3b84ef2fb30633","k__Bacteria",NA,NA,NA,NA,NA,NA
"88018845a8fa0e2418d10dd5f58046c6","88018845a8fa0e2418d10dd5f58046c6","k__Bacteria"," p__Proteobacteria",NA,NA,NA,NA,NA
"f7d7abe075197b70455ff04fe338d694","f7d7abe075197b70455ff04fe338d694","k__Bacteria",NA,NA,NA,NA,NA,NA
"a16b214d53b6871bf515e263b901590a","a16b214d53b6871bf515e263b901590a","k__Bacteria",NA,NA,NA,NA,NA,NA
