"","NP1.JOR.NPP","NP10.JOR.NPP","NP12.JOR.NPP","NP14.JOR.NPP","NP18.JOR.NPP","NP21.JOR.NPP","NP22.JOR.NPP","NP23.JOR.NPP","NP24.JOR.NPP","NP25.JOR.NPP","NP26.JOR.NPP","NP27.JOR.NPP","NP28.JOR.NPP","NP32.JOR.NPP","NP33.JOR.NPP","NP34.JOR.NPP","NP35.JOR.NPP","NP36.JOR.NPP","NP37.JOR.NPP","NP38.JOR.NPP","NP39.JOR.NPP","NP40.JOR.NPP","NP41.JOR.NPP","NP43.JOR.NPP","NP44.JOR.NPP","NP45.JOR.NPP","NP46.JOR.NPP","NP5.JOR.NPP","NP6.JOR.NPP","NP7.JOR.NPP"
"568ef44a224eb47dd09704e5b5b45bd8",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9baed30b34663cfea553710b3997b2bc",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5dead3da63cf592d10dd732889f29415",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d36ae87500e4aba20f7e3c9d6472c4df",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"4533a49c8895c8665d3fbf9453cbc0cc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00ce5f7d1b2a487aa73d4f5e22287d69",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81e6b9360343eaa4fe4ce3c9897b6986",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f482a0d3c4a4fd7dd755ea44949fd8e0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3
"37e3f46597b917519fa3e69c18845157",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a15c0e6e6206c2a291d468929c6c826c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"88018845a8fa0e2418d10dd5f58046c6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
"ca6471ed57196df3aece18fa6b0a3e01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"ade0d44b65528ce1bc12407f2c66c44e",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1400f44331f265ab2acb7c0c94a70f96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b62e6ae23fa27e1f5d0d607a511a5708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"a16b214d53b6871bf515e263b901590a",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"f7d7abe075197b70455ff04fe338d694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"6883c847d9c024a7b482c4fcc8bc9102",0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6c8487fc81f27dea0d016a5e5a090f16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"0d5b32a67571a0ca0a3b84ef2fb30633",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9cdf50d7610a04f5dbf8956a473b9711",0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"b248390e26a914487d251293bb2b2147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"80b65c433e00250682be084062f0b3b8",0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"552e7776ac8b6ec33486a7e5dab0c505",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a41ef71b51b16246d5d620fae71ae11b",0,0,0,0,0,0,0,0,12,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dd5b8f1a37853b9d8eecc1f26fe8e9cf",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a8c3c2a8fdd13b9dddc03712c02616d1",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90a9a194daf518ad5a78d11e65a4119c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"6859a8eceb3ac7767f6e5b7119913ea1",0,7,5,0,6,0,11,4,0,0,0,0,0,0,7,0,0,0,0,0,3,11,0,0,0,7,0,0,8,3
"3e9bec1294ecd4c5a5e5655ddb536c1a",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2f94edf22acec7a7397fa27472adbe84",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fc3adb51fb01b2bba91c7d7da7092612",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66342ecd05cf176ea24b9756b760e065",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0062310ce7e9bfa9b3fe63426543256f",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4800c69b7839b76bbd2ed874b8f750d5",0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a64a81cf9d17e53e51177f09502cdd82",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aa76a9a4c0ef4a32aef1fd51931cb7f0",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f9e3c616364120f46116dc339aca6d9a",1042,496,277,269,152,742,308,247,60,116,118,125,486,517,791,440,314,1211,623,1119,463,170,429,228,180,419,419,95,889,637
"2b29db75ada81e5b3e514d3537196905",0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,28,0,0,0
"01a074f0deaf74db0551849f1cdf5096",0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7f8a8d4c46f9fe45a0190fcb34bde087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"1298eb6f17a586ae258c3c360e631dde",0,0,10,0,0,0,0,0,25,64,39,22,0,0,0,0,0,0,0,0,0,17,0,34,14,0,0,0,0,0
"068117bfc7cacb2022fea3a169c7e2b1",90,0,0,55,56,47,0,0,0,50,57,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9417ab8ef684aa445b00cc11d394211e",0,61,59,0,0,0,27,44,56,0,0,76,18,0,46,69,0,0,0,0,0,58,0,80,0,31,38,0,50,25
"7084f9625321480d3d682dbad06f01b1",0,0,196,829,944,0,0,0,0,0,0,79,0,0,0,0,109,0,0,0,0,90,0,34,286,19,82,107,18,107
"23c5282c99d973a866d238e3243c06a5",0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97f7dbc126ec2861c14788444e33320f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,50,0,0
"4bbc4677fea7c5e71f049e7a9ab51ebc",0,0,0,22,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
