"","NP1.JOR.NPP","NP10.JOR.NPP","NP12.JOR.NPP","NP14.JOR.NPP","NP18.JOR.NPP","NP21.JOR.NPP","NP22.JOR.NPP","NP23.JOR.NPP","NP24.JOR.NPP","NP25.JOR.NPP","NP26.JOR.NPP","NP27.JOR.NPP","NP28.JOR.NPP","NP32.JOR.NPP","NP33.JOR.NPP","NP34.JOR.NPP","NP35.JOR.NPP","NP36.JOR.NPP","NP37.JOR.NPP","NP38.JOR.NPP","NP39.JOR.NPP","NP40.JOR.NPP","NP41.JOR.NPP","NP43.JOR.NPP","NP44.JOR.NPP","NP45.JOR.NPP","NP46.JOR.NPP","NP5.JOR.NPP","NP6.JOR.NPP","NP7.JOR.NPP"
"a4fdef1a655e4ac1b9e651598444ea2c",0,53,107,0,38,0,0,43,18,0,0,149,33,0,74,81,50,0,0,0,108,184,42,120,0,44,116,0,74,29
"e1aea782db8e335653217f5d2cc31449",588,176,206,143,127,257,158,119,127,36,0,245,301,331,197,262,107,305,153,214,175,317,177,210,77,122,190,41,169,56
"228eb5238211163e9d8cb8415f33bfde",0,0,0,45,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94ebfc0a78706ae23fecc5fc828fe460",0,40,146,263,253,0,68,0,58,0,0,289,0,0,92,0,122,32,0,38,0,302,0,99,138,111,153,90,95,84
"6834fce1bd21eef5054a289ec999e261",0,0,0,37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c6dd259d40ca81746c8e8138030e985b",38,41,15,90,130,0,0,11,0,0,0,0,41,21,23,26,0,0,8,0,61,0,23,21,0,0,0,25,30,0
"64a81d7eade01cf742349b71c4e933b4",0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"084082af1ad65fb72e78591c5c6c4ce8",187,46,38,100,70,104,47,31,57,85,65,40,80,81,81,55,43,74,73,65,58,34,48,102,35,43,41,11,78,42
"914ca8bc35da00ca604672ecdc11e8f1",0,0,34,0,0,0,0,0,28,0,0,44,0,0,0,0,0,0,0,0,0,52,0,40,0,0,24,0,28,0
"63fafe8ea24b47db2235b305ce9196aa",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bc42c4eac337f69c77b9470bdf5e6656",0,11,5,0,0,0,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0
"2906518e1d712319ceb3df21798f0690",82,48,14,0,12,29,24,29,37,28,21,26,47,41,44,34,9,0,9,7,26,17,13,20,13,9,19,6,40,14
"26d95432dfcdb1995c4ea6619c786ba1",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"97806a5f1cb6bb99de09005d146ef623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0
"a049545d89c0fd0ff6e81751b34bb42b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
"d965627579a02f315dd1879c19461178",0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
"2bcd7bbcdd771c0de5bec6159033e9e2",33,69,40,19,16,232,92,112,11,40,56,25,67,22,56,139,34,85,241,124,47,65,48,11,20,100,68,11,104,101
"61d386cc948a9f1c4bbb21c6418d8462",0,9,29,15,9,0,14,7,0,0,0,16,0,0,0,26,11,0,0,0,0,24,0,7,9,44,36,9,0,6
"33f532ca80de57da3074a529af5341b1",0,7,13,0,0,0,0,38,0,0,0,0,0,0,0,63,0,0,0,0,7,11,0,0,0,0,20,0,4,0
"38dc97b25769300490b1fa11f1d4c8fc",0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,22,0,0,0,0
"c71dd526a00b97511fa0b1e76c83ae2a",218,646,75,0,0,165,90,299,0,19,21,0,356,166,73,258,44,212,188,246,226,18,231,0,0,77,98,0,68,58
"39b86b728fb72a5c9730443c3a5c3b84",223,365,139,41,37,354,166,202,39,73,76,87,221,179,402,211,111,441,419,595,309,99,202,46,0,145,204,0,503,207
"ace25e801ffe33c50c9517de6fa3136a",0,174,92,67,44,37,269,227,0,17,53,0,0,0,48,321,71,49,49,104,133,56,38,37,82,251,168,48,67,119
"4c3a456da6319667a1fa506c76acdacc",0,0,0,87,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,42,0,0
"f2d109a35fbe8386a828443f5733963c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"b4851b0f36ec65cd82d82946e4945cde",94,160,114,58,50,221,143,68,38,36,33,20,107,101,206,64,170,141,205,174,130,35,120,56,84,167,140,65,298,209
"2c727e83bb44502e1bc6e2f47a4d533a",333,203,89,102,74,317,105,84,79,24,33,106,218,376,140,99,91,324,243,354,147,113,212,104,0,111,118,0,238,123
"26b31ebe4680488d2d00378ddc28ec99",0,0,0,34,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9f60412749b03e68a921cdf8a5640353",0,0,0,36,34,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,54,0,0,43,0,0,25,0,0
"23efe7ef5903d930eceb133015b449aa",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,26,0,31
"47cc4b61407d98ef8965e82e19e854d3",0,0,20,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,0,0,0
"960b3f55cd4c7e69bd960998498a7dac",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"77959cdcad97e505123c6b325fcd4ac9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20a0b882e8282f88a7b8cfc0396e65c7",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e7e26d746e16c1fe9f0376b343d6000d",0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,16,0,0
"d316f08d5aeb9ace7b746462eca91592",0,0,0,0,0,0,0,16,0,0,0,25,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7edd1f8f9cf8ef4d37292ec24b09c4b9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"4fbdf23d3f22f620e261e055eeb4732e",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e3b572f887a043fd22a250611875c9c4",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3a448a5e1f31194494af8906fb2c2de2",0,0,0,0,0,12,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"d30a1c889fb8da4d11e2366aef5dc966",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0
"87351aca079918c0277e83caf2d474fd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68cf2460f259048e946847e09ce4fde6",9,7,0,0,0,0,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"feaab07ced0ff08ce223a4a7aa058539",0,0,0,0,0,0,0,0,4,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,23,6
"6d7b1dd6b381718be3f9def0a01adba8",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0
"da903f570caaa0d7236b7cf1b13dc945",0,0,15,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02de988fdfbf1f019ab641afaf1910d9",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e2520301672efe8988940121174a199a",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a09528b68d8e4c1d51719e5c3a6ea27d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78846f2fa8c2c112357cba7322e89944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"d01de74501a5c0a5c415524e34205830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"afdb05c80d7d3c9a1b8f18eadde0c3a7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,11,0,0,0,0,5,0,0,6
"9842a779f4268233b1535dbf27d75377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"6c8b67c54b14d461b37dfca842629a79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aeef707e104cc5f83536b814235248e1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"b778c365312b3bcf6e5eac945cbea1c3",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6e34b86784bd9c5a050dd15938083c11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"a64415bd9266071e4bc2b15e7dc79454",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"790201286c5aa78b17225b9e79d7c384",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cc8e461bf9beebed17ecbe25d3dc34c2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0
"83ca1974a0bfb62d9aeb6c61f24030ca",9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
"df6e302ef8031bfe4d9f3a6032629b1c",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"861ec5d1093bedb57330082e3cc71786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ba943bd96eb440377420f3826c0c3637",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52c7ffcb56a1acab7ee5b387901741b3",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35698c0e41677cf04792e2ebf85089ac",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18f09d128b0dbeb9bd59ab0cffcd79a4",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2be9140b3d40ed2e1c53f52da8139849",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ad7850a64cc46011be9a6aac20167bf7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1294ec767bc43eede37c718a19ea408d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0
"d939e00212dde53826828c63eec602df",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"312181ffe2309baa4b57c42fa122667f",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5f18b219eae55900e799486765b39ca6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"31f694eb845fe776f465867e509a67a2",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"782971b3e16635de9c22bf462b8e829c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d0154c1e7f49ea66e9ebba55ef53c804",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b427828fcd87f4d0d95e8428099db6e3",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96194245c5a85c9467f2b235aaa388c1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"62169769488d71f81aa602568460143d",0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2ce61f1b4778f065ef270ab4365a7557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"971b516a28ea090901d20732a7d73362",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ab9506f17d58f24707cefdd593cc821f",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04ae707306e897e1917c35d8d0a66229",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4ac55a9a4972c2af562071fa27b011f5",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"4f95edab4173ab29fbb04a103f066bb4",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1bb9fa3eca134b006dcc56f9336ade22",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"012e50ed17d18287ce216d7bd4d7c3d8",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ea86516514f1f43f0d8d1aa9d6776cbc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06d4e451b4de9e46af2389b17bcaff57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"d01b61de0d0411bd0a4b0a5b7e34d92c",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6d0bc40aee2fb211f4a018c06bb33d8b",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0956935adefbdba22ece43c4815dc3c0",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dc2698d57221ae31323d51bc6f70188e",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7fe8294b53168f910cd9c6b711840675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"5c3b9d7957aa37c8245f196a19976a4e",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c090e844c121ed046d4476c47e795fb9",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54cc5d4a1d3a57e77bccb93010edb220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"08a5508c62f063d4380397af1db75c29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"3d9de9ba89705db9e69e13206255b433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"1d347ab97098358d18695b5d8a32ff83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"9d3b1f6b32da8878c48e96e9b75ebd43",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0
"a1b8eb1d014f426be65b26092a398681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"b980cc89fdd84678caa2ff01c7be6c48",0,0,6,0,0,0,24,0,0,0,0,11,8,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63997640eff6b873ab6cf4f7eb2e2ece",9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,0,8
"ca5c83a06fcf1cac0e95383243d01d2a",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"92e737c1fbf7793628fee9741487919b",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"413f4849af04e39ad5c2cd568e6f264c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"db2907fc57fe2cc3d8d46558e7ca0aa0",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"1dafea272a647f194791cfff57a027a2",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d90cd6aafb5e971c8872b0e0f2f68551",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a19d9ba31439234f116c721e1a644f7",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f44c7d7688891fd9ca493a687db1cafd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
