"","OTU.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"568ef44a224eb47dd09704e5b5b45bd8","568ef44a224eb47dd09704e5b5b45bd8","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"f482a0d3c4a4fd7dd755ea44949fd8e0","f482a0d3c4a4fd7dd755ea44949fd8e0","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"a16b214d53b6871bf515e263b901590a","a16b214d53b6871bf515e263b901590a","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"6883c847d9c024a7b482c4fcc8bc9102","6883c847d9c024a7b482c4fcc8bc9102","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"0d5b32a67571a0ca0a3b84ef2fb30633","0d5b32a67571a0ca0a3b84ef2fb30633","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"9cdf50d7610a04f5dbf8956a473b9711","9cdf50d7610a04f5dbf8956a473b9711","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"80b65c433e00250682be084062f0b3b8","80b65c433e00250682be084062f0b3b8","D_0__Archaea","D_1__Euryarchaeota","D_2__Thermoplasmata","D_3__Marine Group II","D_4__uncultured archaeon","D_5__uncultured archaeon","D_6__uncultured archaeon"
"552e7776ac8b6ec33486a7e5dab0c505","552e7776ac8b6ec33486a7e5dab0c505","D_0__Archaea","D_1__Euryarchaeota","D_2__Thermoplasmata","D_3__Marine Group II","D_4__uncultured archaeon","D_5__uncultured archaeon","D_6__uncultured archaeon"
"a41ef71b51b16246d5d620fae71ae11b","a41ef71b51b16246d5d620fae71ae11b","D_0__Archaea","D_1__Euryarchaeota","D_2__Thermoplasmata","D_3__Marine Group II","D_4__uncultured archaeon","D_5__uncultured archaeon","D_6__uncultured archaeon"
"90a9a194daf518ad5a78d11e65a4119c","90a9a194daf518ad5a78d11e65a4119c","D_0__Archaea","D_1__Euryarchaeota","D_2__Thermoplasmata","D_3__Marine Group II",NA,NA,NA
"6859a8eceb3ac7767f6e5b7119913ea1","6859a8eceb3ac7767f6e5b7119913ea1","D_0__Archaea","D_1__Euryarchaeota","D_2__Thermoplasmata","D_3__Marine Group II","D_4__uncultured euryarchaeote","D_5__uncultured euryarchaeote","D_6__uncultured euryarchaeote"
"3e9bec1294ecd4c5a5e5655ddb536c1a","3e9bec1294ecd4c5a5e5655ddb536c1a","D_0__Archaea","D_1__Euryarchaeota","D_2__Thermoplasmata","D_3__Marine Group II","D_4__uncultured haloarchaeon","D_5__uncultured haloarchaeon","D_6__uncultured haloarchaeon"
"2f94edf22acec7a7397fa27472adbe84","2f94edf22acec7a7397fa27472adbe84","D_0__Archaea","D_1__Euryarchaeota","D_2__Thermoplasmata","D_3__Marine Group II","D_4__uncultured haloarchaeon","D_5__uncultured haloarchaeon","D_6__uncultured haloarchaeon"
"66342ecd05cf176ea24b9756b760e065","66342ecd05cf176ea24b9756b760e065","D_0__Archaea","D_1__Euryarchaeota","D_2__Methanobacteria","D_3__Methanobacteriales","D_4__Methanobacteriaceae","D_5__Methanobacterium",NA
"0062310ce7e9bfa9b3fe63426543256f","0062310ce7e9bfa9b3fe63426543256f","D_0__Archaea","D_1__Nanoarchaeaeota","D_2__Woesearchaeia",NA,NA,NA,NA
"f9e3c616364120f46116dc339aca6d9a","f9e3c616364120f46116dc339aca6d9a","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae",NA,NA
"2b29db75ada81e5b3e514d3537196905","2b29db75ada81e5b3e514d3537196905","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae",NA,NA
"01a074f0deaf74db0551849f1cdf5096","01a074f0deaf74db0551849f1cdf5096","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae","D_5__uncultured thaumarchaeote","D_6__uncultured thaumarchaeote"
"7f8a8d4c46f9fe45a0190fcb34bde087","7f8a8d4c46f9fe45a0190fcb34bde087","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae",NA,NA
"1298eb6f17a586ae258c3c360e631dde","1298eb6f17a586ae258c3c360e631dde","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae","D_5__Candidatus Nitrocosmicus",NA
"068117bfc7cacb2022fea3a169c7e2b1","068117bfc7cacb2022fea3a169c7e2b1","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae","D_5__Candidatus Nitrocosmicus","D_6__uncultured archaeon"
"9417ab8ef684aa445b00cc11d394211e","9417ab8ef684aa445b00cc11d394211e","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae","D_5__Candidatus Nitrocosmicus",NA
"7084f9625321480d3d682dbad06f01b1","7084f9625321480d3d682dbad06f01b1","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae",NA,NA
"23c5282c99d973a866d238e3243c06a5","23c5282c99d973a866d238e3243c06a5","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae",NA,NA
"97f7dbc126ec2861c14788444e33320f","97f7dbc126ec2861c14788444e33320f","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae","D_5__Candidatus Nitrocosmicus",NA
"4bbc4677fea7c5e71f049e7a9ab51ebc","4bbc4677fea7c5e71f049e7a9ab51ebc","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae","D_5__Candidatus Nitrocosmicus",NA
"a4fdef1a655e4ac1b9e651598444ea2c","a4fdef1a655e4ac1b9e651598444ea2c","D_0__Archaea","D_1__Thaumarchaeota","D_2__Nitrososphaeria","D_3__Nitrososphaerales","D_4__Nitrososphaeraceae","D_5__Candidatus Nitrocosmicus",NA
