	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
OTU2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
OTU3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU4	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU5	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
OTU6	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	NA	NA
OTU7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella centenaria
OTU8	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	NA	NA	NA
OTU9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
OTU10	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
OTU11	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	Acarospora fuscata
OTU12	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	NA	NA	NA
OTU13	Fungi	NA	NA	NA	NA	NA	NA
OTU14	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
OTU15	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU16	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
OTU17	Fungi	NA	NA	NA	NA	NA	NA
OTU18	Fungi	NA	NA	NA	NA	NA	NA
OTU19	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	NA
OTU20	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella ornata
OTU21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
OTU22	Fungi	NA	NA	NA	NA	NA	NA
OTU23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	NA
OTU24	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU25	Fungi	NA	NA	NA	NA	NA	NA
OTU26	Fungi	Ascomycota	Lichinomycetes	Lichinales	Peltulaceae	Peltula	Peltula richardsii
OTU27	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU28	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
