OTU ID	N1.Interspace	N1.JOR.NPP	N1.Rhizo	N10.Interspace	N10.JOR.NPP	N10.Rhizo	N101B.Interspace	N102B.Interspace	N103B.Interspace	N104B.Interspace	N105B.Interspace	N106B.Interspace	N11.Interspace	N11.JOR.NPP	N11.Rhizo	N12.Rhizo	N12.Interspace	N12.JOR.NPP	N13.Interspace	N13.Rhizo	N14.Interspace	N14.JOR.NPP	N14.Rhizo	N15.Interspace	N15.Rhizo	N16.Interspace	N16.Rhizo	N17.Interspace	N17.Rhizo	N18.Interspace	N18.JOR.NPP	N18.Rhizo	N19.Interspace	N19.JOR.NPP	N19.Rhizo	N2.Interspace	N2.Rhizo	N20.Interspace	N20.Rhizo	N21.Interspace	N21.JOR.NPP	N21.Rhizo	N22.Interspace	N22.JOR.NPP	N22.Rhizo	N23.Interspace	N23.JOR.NPP	N23.Rhizo	N24.Interspace	N24.JOR.NPP	N24.Rhizo	N25.Interspace	N25.JOR.NPP	N25.Rhizo	N26.Interspace	N26.JOR.NPP	N26.Rhizo	N27.Interspace	N27.JOR.NPP	N27.Rhizo	N28.Interspace	N28.JOR.NPP	N28.Rhizo	N29.Interspace	N29.Rhizo	N3.Interspace	N3.Rhizo	N30.Interspace	N30.JOR.NPP	N30.Rhizo	N31.Interspace	N31.Rhizo	N32.Interspace	N32.JOR.NPP	N32.Rhizo	N33.Interspace	N33.JOR.NPP	N33.Rhizo	N34.Interspace	N34.JOR.NPP	N34.Rhizo	N35.Interspace	N35.JOR.NPP	N35.Rhizo	N36.JOR.NPP	N36.Rhizo	N37.JOR.NPP	N37.Rhizo	N38.JOR.NPP	N38.Rhizo	N39.JOR.NPP	N39.Rhizo	N4.Interspace	N4.Rhizo	N40.JOR.NPP	N40.Rhizo	N41.JOR.NPP	N41.Rhizo	N42.JOR.NPP	N42.Rhizo	N43.JOR.NPP	N43.Rhizo	N44.JOR.NPP	N44.Rhizo	N45.JOR.NPP	N45.Rhizo	N46.JOR.NPP	N46.Rhizo	N47.Interspace	N47.Rhizo	N48.Interspace	N48.Rhizo	N49.Interspace	N49.Rhizo	N5.Interspace	N5.JOR.NPP	N5.Rhizo	N50.Interspace	N50.Rhizo	N51.Interspace	N51.Rhizo	N52.Interspace	N52.Rhizo	N53.Interspace	N53.Rhizo	N54.Interspace	N54.Rhizo	N55.Interspace	N55.Rhizo	N56.Interspace	N56.Rhizo	N57.Interspace	N57.Rhizo	N58.Rhizo	N59.Rhizo	N6.Interspace	N6.JOR.NPP	N6.Rhizo	N60.Rhizo	N61.Rhizo	N62.Rhizo	N63.Interspace	N63.Rhizo	N64.Interspace	N64.Rhizo	N65.Interspace	N65.Rhizo	N66.Interspace	N66.Rhizo	N67.Interspace	N67.Rhizo	N68.Interspace	N68.Rhizo	N69.interspace	N7.Interspace	N7.JOR.NPP	N7.Rhizo	N70.interspace	N71.interspace	N73.Interspace	N74.interspace	N75.interspace	N76.interspace	N77.Interspace	N78.interspace	N79.interspace	N8.Interspace	N8.Rhizo	N80.interspace	N81.interspace	N82.interspace	N83.interspace	N84.interspace	N85.interspace	N86.interspace	N87.interspace	N88.interspace	N9.Interspace	N9.Rhizo	NASBSP1	NASBSP2	NASBSP3	NASEP1	NASEP2	NASEP3	NASGTR1	NASGTR2	NASGTR3	NASPC1	NASPC2	NASPC3	NASUCF1	NASUCF2	NASUCF3	NSHP.8.CLAV.LAC	NSHP.8.COLLEMA.R1	NSHP.8.COLLEMA.R2	NSHP.8.COLLEMA.R3	NSHP.8.HEP.PELT.R1	NSHP.8.HEP.PELT.R2	NSHP.8.HEP.PELT.R3	NSHP.8.IC.R1	NSHP.8.IC.R2	NSHP.8.LAC.R2	NSHP.8.LAC.R3	NSHP.8.P.BIG	NSHP.8.P.FLOWER	NSHP.N17.CLAV.LAC	NSHP.N17.COLLEMA.R1	NSHP.N17.COLLEMA.R2	NSHP.N17.COLLEMA.R3	NSHP.N17.DAC.R1	NSHP.N17.DAC.R2	NSHP.N17.DAC.R3	NSHP.N17.HEP.PELT.R1	NSHP.N17.HEP.PELT.R2	NSHP.N17.HEP.PELT.R3	NSHP.N17.IC.R1	NSHP.N17.IC.R2	NSHP.N17.IC.R3	NSHP.N17.LAC.R1	NSHP.N17.LAC.R2	NSHP.N17.LAC.R3	NSHP.N17.P.FLOWER	NSHP.N21.COLLEMA.R1	NSHP.N21.LAC.R1	NSHP.N26.CLAV.LAC	NSHP.N26.COLLEMA.R1	NSHP.N26.COLLEMA.R2	NSHP.N26.COLLEMA.R3	NSHP.N26.DAC	NSHP.N26.HEP.PELT.R1	NSHP.N26.HEP.PELT.R2	NSHP.N26.HEP.PELT.R3	NSHP.N26.IC.R1	NSHP.N26.IC.R2	NSHP.N26.IC.R3	NSHP.N26.LAC.PC	NSHP.N26.LAC.R1	NSHP.N26.LAC.R2	NSHP.N26.LAC.R3	NSHP.N26.P.FLOWER	NSHP1.COLLEMA.R1	NSHP1.IC.R1	NSHP1.LAC.R1
OTU1	76	13	613	259	301	218	1967	6328	1645	1742	289	899	1060	257	1925	554	1286	3457	815	1512	1488	995	920	3979	890	6576	831	4738	866	3745	985	1017	3323	2273	746	1410	196	87	1216	466	111	1292	73	1648	319	1558	981	1971	3601	757	1122	171	125	1663	4558	142	703	249	1822	1347	288	3388	1402	99	2131	939	351	215	850	849	13	846	4031	406	601	495	821	536	1567	4894	1386	35	3107	667	492	977	80	234	1539	3628	31409	26	2042	2025	1357	2064	1290	151	288	45	576	3073	3594	451	2476	392	10828	65	503	174	1088	4	466	771	2248	1023	1020	3770	470	1783	137	2496	11	1987	4892	1181	68	153	411	3407	1002	6500	1422	6012	3232	1627	1415	764	605	563	859	169	2134	504	44	1783	39	445	2310	1334	1336	600	4000	1461	206	1867	1235	1810	2454	404	2085	7442	405	1170	1065	5734	4234	341	1525	3103	1123	1991	326	1298	1654	1195	1142	1272	1961	8	1	13	20	9	27	29	6	10	8	2	33	26	0	11	304	255	763	203	228	672	72	9597	15055	1043	4364	48	92	111	466	460	739	504	4175	1112	142	69	411	6238	7207	9725	1050	1008	565	542	11505	37618	174	425	0	11151	1616	45	250	44	13726	1785	1	348	4637	5887	4200	74	772	20669	4324
OTU10	5	1	4	6	6	4	6	6	9	6	5	13	5	2	4	3	12	13	17	7	6	4	6	13	3	8	8	7	14	10	2	2	8	1	1	11	6	5	7	4	3	9	12	3	3	6	4	5	7	4	3	3	5	11	15	5	2	0	8	6	9	3	5	4	5	0	3	0	6	5	3	7	7	0	3	1	5	3	5	3	5	2	10	0	6	4	2	7	3	4	11	1	11	7	10	5	8	4	9	1	6	18	7	5	9	5	11	0	4	3	3	2	6	4	4	2	4	10	5	4	2	8	0	5	5	7	7	3	3	6	7	6	5	6	9	6	4	10	11	3	6	3	6	5	1	7	3	5	1	5	6	2	4	3	4	8	0	3	4	3	7	9	5	4	8	7	5	5	6	3	3	4	4	10	4	6	4	13	9	31687	18170	37175	10	9	7	22302	38179	26477	34113	28740	7	2	10	2	2	19	5	13	12	15	5	12	13	7	26	10	5	13	19	5	10	7	7	12	3	8	9	6	14	9	6	10	5	8	30	15	15	2	0	4	4	1	6	9	15	17	0	7	22	8	12	3	20	8	14
OTU100	0	14	4	1	242	4	39	22	63	1	211	37	0	0	49	3	19	0	7	86	0	0	6	19	3	1	1	0	0	12	10	1	125	11	0	1	9	1	266	1	1	19	1	398	1	3	76	5	16	213	0	0	3	230	217	2	1	0	1	1	3	126	17	0	0	14	1	35	353	21	1	12	33	4	0	0	31	0	0	18	33	0	15	78	64	36	3	0	135	5	1380	0	6	16	3	23	464	6	5	1	57	18	53	33	394	1	9	15	2	0	1944	0	23	0	20	1	2	64	36	50	0	31	1	1	1641	3	0	0	5	11	14	17	0	51	8	0	118	9	10	0	6	0	0	907	0	56	1	17	2	2	4	29	15	0	16	10	11	10	11	14	0	29	10	34	6	99	56	5	56	11	99	58	2	3	1035	54	37	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	2	0	1	0	0	2	0	1	2	0	0	1	0	2	2	1	1	0	3	1	2	1	1	0	5	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	2	0	1
OTU1000	0	0	1	0	1	0	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	8	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	40	0	0	0	0	25	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	2	0	0	10	15	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	4	4	5	0	3	1	0	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU1001	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	8	0	0	0	0	0	0	15	0	117	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	7	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1002	0	0	0	0	15	0	0	0	0	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	19	0	0	1	0	0	0	2	6	0	11	0	10	0	4	0	0	0	7	0	1	0	14	0	0	0	0	0	1	0	5	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	3	1	21	184	0	0	0	0	0	3	0	17	1	0	0	0	11	0	12	0	0	0	0	0	15	0	0	0	0	0	0	12	0	10	43	0	0	33	7	91	0	0	42	0
OTU1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	39	0	1	0	5	0	3	0	0	4	3	1	0	33	1	0	0	0	0	0	2	0	0	0	1	1	1	22	0	0	0	4	0	1	0	0	13	23	0	0	0	0	0	0	0	4	0	1	128
OTU1004	0	0	9	0	1	0	0	26	0	0	0	14	0	0	12	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	78	0	0	0	0	19	0	0	0	0	0	13	0	0	0	0	79	0	0	0	1	0	16	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	3	0	0	0	12	2	0	0	0	0	1	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1005	2	0	3	0	0	0	0	0	0	0	0	5	0	0	0	1	0	2	0	5	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	3	11	4	0	0	0	0	0	6	7	0	2	56	0	0	25	0	0	5	1	0	0	3	0	1	0	1	0	1	0	42	0	0	0	2	0	0	1	0	0	0	0	0	4	5	0	10	0	7	0	0	0	0	26	2	2	4	0	5	1	25	0	0	6	0	0	0	0	0	8	0	0	0	10	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	2	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	14	0	1	8	38	0	0	3	0	5	2	2	13	9	3	12	0	0	0	2	0	58	12	15	44	1	5	12	0	0	0	0	1	0	0	0	0	0	0	0	47	0	0	0	0	0	0
