"","NP5.JOR.NPP","NP6.JOR.NPP","NP7.JOR.NPP","NP10.JOR.NPP","NP12.JOR.NPP","NP14.JOR.NPP","NP18.JOR.NPP","NP21.JOR.NPP","NP22.JOR.NPP","NP23.JOR.NPP","NP24.JOR.NPP","NP25.JOR.NPP","NP26.JOR.NPP","NP27.JOR.NPP","NP28.JOR.NPP","NP32.JOR.NPP","NP33.JOR.NPP","NP34.JOR.NPP","NP35.JOR.NPP","NP36.JOR.NPP","NP37.JOR.NPP","NP38.JOR.NPP","NP39.JOR.NPP","NP40.JOR.NPP","NP41.JOR.NPP","NP43.JOR.NPP","NP44.JOR.NPP","NP45.JOR.NPP","NP46.JOR.NPP"
"ASV1235",6,0,2,4,0,0,0,0,1,10,1,0,0,0,1,0,0,0,0,1,0,8,12,1,0,0,7,7,1
"ASV3276",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV16447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV450",0,12,32,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0
"ASV6779",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3513",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"ASV1801",0,0,0,0,0,0,0,30,0,0,0,0,0,0,43,0,0,0,0,5,2,16,0,0,11,0,0,0,0
"ASV1941",0,0,0,0,0,0,0,6,0,0,0,0,0,0,29,0,0,0,0,6,5,47,0,0,1,0,0,0,0
"ASV5134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV4834",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7060",0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"ASV3160",0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV2831",0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV10187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ASV628",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ASV22",510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0
"ASV1088",0,1,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0
"ASV2816",0,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ASV597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ASV124",0,136,386,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,109,0,0,0,0,0,0,0,0,0,0
"ASV307",0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,6,0,0
"ASV2008",0,0,0,0,2,64,18,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3
"ASV3988",0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"ASV5376",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV698",0,21,1,0,1,0,0,0,5,0,0,0,8,0,0,0,4,0,1,0,4,0,0,0,0,0,2,1,1
"ASV4402",0,25,5,0,0,0,0,0,4,0,0,0,7,0,0,0,9,0,0,0,4,0,0,0,0,0,5,5,0
"ASV5180",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2218",0,0,4,0,0,0,0,9,2,0,0,0,0,0,3,4,1,2,0,0,9,0,1,0,0,0,0,0,0
"ASV1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
"ASV6933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"ASV4266",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7081",0,0,4,0,0,0,0,20,1,0,1,0,0,0,0,6,4,2,1,0,9,0,1,0,2,0,0,0,0
"ASV2722",0,0,0,0,0,0,0,0,0,0,54,23,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
"ASV1216",0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV4603",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV635",0,13,20,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
"ASV15704",0,14,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"ASV10640",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1034",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV10150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
"ASV148",18,30,63,5,0,0,0,0,4,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,83,0,7,0,5
"ASV3816",17,26,53,7,0,0,0,0,4,2,0,4,6,0,0,0,16,4,0,3,0,0,0,0,77,0,6,0,1
"ASV1747",0,53,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11477",0,28,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2133",0,0,14,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,1,0,0
"ASV7726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV8031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV433",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0
"ASV1154",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV7328",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASV4930",3,0,0,3,0,2,0,0,0,0,1,0,3,0,0,0,0,0,1,2,1,0,0,1,0,0,4,0,0
"ASV745",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV5527",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV883",0,0,12,0,0,0,0,0,11,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,5,0,2,9,0
"ASV6289",0,3,71,0,1,8,17,0,9,1,2,2,0,4,0,0,22,0,7,0,0,1,0,2,2,0,1,2,2
"ASV1669",0,0,95,0,0,5,26,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
"ASV409",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,203,0,0
"ASV12523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV5866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"ASV14937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ASV2833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,16
"ASV15035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV10601",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3899",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV10921",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11342",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV4667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3290",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0
"ASV11510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ASV7637",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2464",0,0,0,0,0,0,0,0,0,0,93,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ASV9240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3878",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,13,3,6,0,0,0,0,0,0,0
"ASV10159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV718",0,0,0,0,12,110,116,0,0,0,0,0,0,16,0,0,5,0,147,0,1,0,0,14,0,0,0,0,89
"ASV3085",0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,21,0,0,0,0,0,0,0,0
"ASV399",2,43,8,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,2,3,2,10,0,0,2,0,7,0,0
"ASV7452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
"ASV552",8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,25,0,0,0,0,2,0,0
"ASV2285",0,0,0,0,0,1,0,0,0,20,0,0,0,1,1,0,0,0,0,1,0,0,0,1,4,0,0,0,41
"ASV10063",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1100",0,2,0,0,0,0,0,0,0,0,178,124,11,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0
"ASV4748",0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"ASV73",64,0,31,23,12,84,25,0,152,44,0,0,0,54,30,0,48,81,0,0,0,0,50,37,0,0,46,92,29
"ASV9858",12,0,7,3,4,15,3,2,17,9,1,0,2,10,6,0,10,8,0,0,0,0,9,7,0,0,8,17,8
"ASV4300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ASV3961",0,0,0,0,2,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8
"ASV9966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ASV8367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"ASV5382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,3,0,0,0,0
"ASV5475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,3,0,1,0,0,2,0,0,0,0
"ASV11320",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV12840",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1526",0,0,3,1,0,0,0,4,0,145,0,5,0,0,0,10,0,4,0,0,4,0,0,0,0,0,0,0,31
"ASV563",0,0,17,6,0,0,0,14,0,780,0,0,0,0,199,11,0,29,0,15,0,11,8,0,11,0,0,0,0
"ASV729",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11725",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV4115",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV5784",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV123",45,0,0,0,0,0,175,0,0,0,0,0,11,0,0,0,0,15,9,0,0,0,0,0,0,0,20,0,0
"ASV1323",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"ASV8070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV8767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASV10680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
"ASV3438",0,0,0,46,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV358",7,0,159,76,0,0,0,0,0,1079,0,0,0,0,0,0,0,34,60,0,0,0,28,0,0,0,0,39,0
"ASV3342",0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
"ASV7261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV4037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV9260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"ASV1329",0,4,0,0,0,0,0,0,0,0,0,0,0,0,48,7,0,0,0,72,0,0,0,0,36,0,0,0,0
"ASV4272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,5,0,0,0,0
"ASV6310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV333",0,7,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,0,0,0,0
"ASV11316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ASV2792",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,5,0,0,0,0
"ASV2701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,26,0,97,0,0,0,0,0,0,0
"ASV2287",0,0,0,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,1,53,0,0,15,0,0,0,0
"ASV8772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3370",0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV4321",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2966",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,1,0
"ASV4210",0,7,16,5,0,0,0,0,69,1,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,5,0
"ASV4298",0,53,74,16,0,0,0,0,25,44,0,0,0,0,0,0,12,3,16,0,0,0,5,0,0,0,0,17,0
"ASV2375",0,259,395,80,0,0,0,0,145,168,0,0,0,0,0,0,35,28,51,0,0,0,23,0,0,0,0,86,0
"ASV2206",0,7,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"ASV615",0,18,27,4,0,0,0,0,19,15,0,0,0,0,0,0,3,5,4,0,0,0,2,0,0,0,0,9,0
"ASV971",0,496,438,98,0,0,0,0,292,183,0,0,0,0,0,0,57,21,59,0,0,0,40,0,3,0,0,112,2
"ASV2806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV3030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV210",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655,0,0,0,0,0,0,0,0,0,0,0,0
"ASV321",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2799",0,0,0,0,2,21,3,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,24
"ASV8692",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV5034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85,0
"ASV13792",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV290",7,41,141,14,25,27,27,7,251,64,4,2,0,6,6,0,22,72,32,0,0,0,49,11,20,1,7,175,37
"ASV401",8,0,42,29,14,0,0,0,60,38,13,0,0,10,24,0,0,10,7,0,0,9,36,42,24,0,1,299,41
"ASV3932",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"ASV3318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"ASV4063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,9,0,0,0,0
"ASV159",17,0,0,0,0,0,0,17,0,0,15,21,24,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0
"ASV10825",16,0,0,0,0,0,0,14,0,0,11,13,20,0,0,0,0,0,5,0,9,0,0,0,0,0,4,0,0
"ASV167",15,0,0,0,0,0,0,0,0,0,14,16,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"ASV15882",9,0,0,0,0,0,0,0,0,0,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3442",0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,2,14,5,0,0,1,0,0,0,0
"ASV10147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
"ASV12397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ASV522",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,3,0,9,0,0,0,0,6,0,0
"ASV12789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,2,0,0
"ASV9975",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"ASV516",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0
"ASV6588",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV13731",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV5300",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ASV349",0,0,29,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,25,0,0,6,0,0,0,0,0,0,0
"ASV1781",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
"ASV10229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"ASV269",0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV10122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ASV7221",0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ASV2129",0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,4,0,0,1,0,5
"ASV9249",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7844",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3170",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0
"ASV15177",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"ASV4376",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV4717",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,0,0,0
"ASV4117",0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
"ASV1288",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ASV511",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV13538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASV2358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ASV1300",0,9,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,302,0,0,4,0,0,0,0,0,0,0,1
"ASV2546",0,5,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"ASV1229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ASV3057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"ASV347",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,8,0,0
"ASV7194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"ASV4537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV1580",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0
"ASV114",33,84,0,0,0,0,0,0,0,0,0,0,0,0,8,0,31,0,0,0,21,0,0,10,0,0,15,59,12
"ASV5373",22,40,0,0,0,0,0,0,8,0,0,0,0,0,11,0,12,0,0,0,0,0,0,5,0,0,0,31,7
