"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV8973","Fungi","Ascomycota","Lecanoromycetes","Lecanorales",NA,NA,NA
"ASV2886","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"ASV9209","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"ASV13050","Fungi","Ascomycota","Dothideomycetes","Dothideales",NA,NA,NA
"ASV13684","Fungi","Ascomycota","Eurotiomycetes","Verrucariales",NA,NA,NA
"ASV9618","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"ASV12659","Fungi","Ascomycota","Dothideomycetes","Patellariales",NA,NA,NA
"ASV10608","Fungi","Ascomycota","Dothideomycetes","Patellariales",NA,NA,NA
"ASV13660","Fungi","Ascomycota","Dothideomycetes","Patellariales",NA,NA,NA
"ASV8545","Fungi","Ascomycota","Dothideomycetes","Tubeufiales",NA,NA,NA
"ASV13195","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales",NA,NA,NA
"ASV9247","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales",NA,NA,NA
"ASV14880","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales",NA,NA,NA
"ASV2407","Fungi","Basidiomycota","Tremellomycetes",NA,NA,NA,NA
"ASV2201","Fungi","Basidiomycota","Tremellomycetes",NA,NA,NA,NA
"ASV696","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium",NA
"ASV11330","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium",NA
"ASV1235","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium chernovii"
"ASV3276","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae",NA,NA
"ASV16447","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae",NA,NA
"ASV450","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"ASV6779","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"ASV3513","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"ASV1801","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"ASV1941","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"ASV5134","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma halophilum"
"ASV4834","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma undulatosporum"
"ASV7060","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma undulatosporum"
"ASV3160","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
